Group,Subfield,DOME_Field,PMCID,Category,Source_Snippet
Data,availability,Data/availability,PMC11845296,Full,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC10878338,Full,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   * URL: https://doi.org/10.1080/0886022X.2024.2316267   * License: Creative Commons Attribution License (CC-BY)
Data,availability,Data/availability,PMC8617597,Full,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   * GitHub Repository: https://github.com/ | Creative Commons CC0 license.
Data,availability,Data/availability,PMC11278897,Full,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC11035075,Full,"* **Dataset Publicly Available**: No.  * **Dataset URL/License**:   * The dataset is not publicly available. The authors state that ""Restrictions apply to the availability of these data, which were used with permission for this study. Data are available from the authors with the permission of the Healthcare Cost and Utilization Project."""
Data,availability,Data/availability,PMC10621606,Full,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   * https://data.world/kudem | Creative Commons Attribution-NonCommercial 4.0 International License.
Data,availability,Data/availability,PMC6293604,Full,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   * URL: https://doi.org/10.1186/s13148-018-0591-z   * License: Creative Commons Attribution 4.0 International License.
Data,availability,Data/availability,PMC11227463,Full,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC9962729,Full,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC10785655,Full,"* **Dataset Publicly Available**: No.  * **Dataset URL/License**:   * The dataset is held securely in coded form at the Institute for Clinical Evaluative Sciences (ICES). Access may be granted to those who meet pre-specified criteria for confidential access, available at [www.ices.on.ca/DAS](http://www.ices.on.ca/DAS). The full dataset creation plan and underlying analytic code are available from"
Data,availability,Data/availability,PMC7659093,Partial,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC8568050,Partial,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC4407517,Partial,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC9347213,Partial,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   - URL: https://www.rcsb.org/ | License: Not enough information is available.
Data,availability,Data/availability,PMC11865635,Partial,* **Dataset Publicly Available**: No.  * **Dataset URL/License**:   * Not enough information is available.
Data,availability,Data/availability,PMC8581823,Partial,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   * https://www.ncbi.nlm.nih.gov/gap/ | Not enough information is available.
Data,availability,Data/availability,PMC11625410,Partial,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   - https://gitlab.com/machine-biology-group-public/pancleave | Not enough information is available.
Data,availability,Data/availability,PMC7665450,Partial,* **Dataset Publicly Available**: No.  * **Dataset URL/License**:   * Not enough information is available.
Data,availability,Data/availability,PMC11806858,Partial,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC11874791,Partial,* **Dataset Publicly Available**: No.  * **Dataset URL/License**:   * Not enough information is available.
Data,availability,Data/availability,PMC6484528,Missing,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC11789348,Missing,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC11504323,Missing,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**:   * Not enough information is available.
Data,availability,Data/availability,PMC6661861,Missing,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC9294765,Missing,* **Dataset Publicly Available**: Not enough information is available. * **Dataset URL/License**:   * Not enough information is available.
Data,availability,Data/availability,PMC11267879,Missing,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC11324570,Missing,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC3259434,Missing,* Dataset Publicly Available: Not enough information is available.  * Dataset URL/License:   * Not enough information is available.
Data,availability,Data/availability,PMC6510616,Missing,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**:   * Not enough information is available.
Data,availability,Data/availability,PMC11850780,Missing,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC11865635,Full,"* **Data Source Name**:   * Primary Training Source: Author-generated data from patients who presented to the ER and underwent abdominal CT scans due to a diagnosis of acute cholecystitis (AC), followed by laparoscopic cholecystectomy within 24 hours, with pathology confirming the diagnosis.   * Secondary Validation Source: Author-generated data from an additional 40 cases (20 with AC and 20 healt"
Data,provenance,Data/provenance,PMC8581823,Full,* **Data Source Name**:   * Philadelphia Neurodevelopmental Cohort (PNC).   * eMerge project stage III.  * **Total Data Points**:   * N=524 (African American children).   * N=351 (European American children).  * **Previous Use**:   * Yes. The PNC data is archived in the biobank of the Center for Applied Genomics (CAG) at the Children’s Hospital of Philadelphia (CHOP). The eMerge project stage III
Data,provenance,Data/provenance,PMC7676934,Full,* **Data Source Name**:   * GSE97709: GEO database   * GSE37171: GEO database  * **Total Data Points**:   * GSE97709: N=48   * GSE37171: N=115  * **Previous Use**:   * GSE97709: Yes. Cited in the text as [6].   * GSE37171: Yes. Cited in the text as [7].
Data,provenance,Data/provenance,PMC7511449,Full,* **Data Source Name**:   * IEDB: The Immune Epitope Database (IEDB) is the primary source of binding affinity data for various HLA alleles.   * Bjerregaard et al. curated dataset: This dataset is sourced from a publication with PMID: 29187854.   * Koşaloğlu-Yalçın et al. curated dataset: This dataset is sourced from a publication with PMID: 30377561.  * **Total Data Points**:   * HLA-A*24-02: N=2
Data,provenance,Data/provenance,PMC5521984,Full,"* **Data Source Name**:   * MEDLINE Citations: The dataset consists of MEDLINE citations from November 2012 to February 2013. The dataset is publicly available at http://ii.nlm.nih.gov/MTI_ML/index.shtml.  * **Total Data Points**:   * Training: N=89,942   * Validation: N=5,000   * Testing: N=48,911  * **Previous Use**:   * Yes. The dataset and MeSH terms used in this study were also used in a prio"
Data,provenance,Data/provenance,PMC9980216,Full,* **Data Source Name**:   * FAMLI protocol   * Author-generated data  * **Total Data Points**:   * N=8775 ultrasound studies   * N=4695 participants  * **Previous Use**:   * No previous use information is available.
Data,provenance,Data/provenance,PMC8586384,Full,"* **Data Source Name**:   * Knee Implant Radiographs     * Army Hospital (Research and Referral), New Delhi, India     * SRM Institute of Medical Sciences Hospital, Chennai, India     * Sunshine Hospitals, Hyderabad     * Stanford University Medical Center, US     * Kasturba Medical College, Manipal  * **Total Data Points**:   * N=1078  * **Previous Use**:   * No previous use is mentioned."
Data,provenance,Data/provenance,PMC8298161,Full,"* **Data Source Name**:   * ADNI Database: Alzheimer's Disease Neuroimaging Initiative (ADNI) database (http://adni.loni.usc.edu/).  * **Total Data Points**:   * N=1,461 (622 AD, 473 MCI, and 366 healthy controls (HCs)).  * **Previous Use**:   * Yes. The ADNI database is a well-established benchmark in the Alzheimer's disease research community. It has been used in numerous previous studies and is"
Data,provenance,Data/provenance,PMC11377909,Full,"* **Data Source Name**:   * Framingham Heart Study (FHS)  * **Total Data Points**:   * N=200  * **Previous Use**:   * Yes. The FHS is a well-established, longitudinal cohort study initiated in 1948. It has been used in numerous previous publications and benchmarks. The study has been supported by the National Heart, Lung, and Blood Institute of the National Institutes of Health and Boston Universi"
Data,provenance,Data/provenance,PMC6637411,Full,"* **Data Source Name**:   * Vaccination and Immunity Project  * **Total Data Points**:   * N=74  * **Previous Use**:   * Yes. The dataset has been used in previous publications investigating the association of psychosocial, physiological, and behavioral factors with antibody response to hepatitis B vaccination (Carroll et al., 2011; Prather et al., 2009) and an analysis of the effects of stress re"
Data,provenance,Data/provenance,PMC7659093,Partial,* **Data Source Name**:   * Data Source Name: Self-reported questionnaire.   * Data Source Name: Hamadan city sports clubs.  * **Total Data Points**:   * Total Data Points: N=356.  * **Previous Use**:   * Previous Use: No. Not enough information is available.
Data,provenance,Data/provenance,PMC8568050,Partial,"* **Data Source Name**:   * Clinical Data Warehouse (CDW) structured using the Observational Medical Outcomes Partnership (OMOP) Common Data Model (CDM).  * **Total Data Points**:   * N=171,136 admissions identified initially.   * N=158,804 admissions after excluding data points with missing values.  * **Previous Use**:   * Not enough information is available."
Data,provenance,Data/provenance,PMC4407517,Partial,* **Data Source Name**:   * BV Dataset: Not enough information is available.  * **Total Data Points**:   * N=1601.  * **Previous Use**:   * Yes. The dataset was used in a previous study cited as [18].
Data,provenance,Data/provenance,PMC9347213,Partial,"* **Data Source Name**:   * Protein Data Bank (PDB).  * **Total Data Points**:   * N=125,955 protein sequences.  * **Previous Use**:   * Yes. The dataset was developed following previous work from the authors' group. Not enough information is available to provide a citation."
Data,provenance,Data/provenance,PMC11625410,Partial,* **Data Source Name**:   * MEROPS Peptidase Database: The dataset used for training and testing the panCleave model is sourced from the MEROPS Peptidase Database. The data was accessed as of June 2020.   * Human Proteome: Negative observations were generated from the human proteome.   * Random Protein Space: Negative observations were also generated from random protein sequences.  * **Total Data
Data,provenance,Data/provenance,PMC7665450,Partial,"* **Data Source Name**:   * Follicular charts of patients undergoing stimulation prior to oocyte retrieval for IVF, ICSI, or oocyte donation.  * **Total Data Points**:   * N=2322 cycles of 1875 women.   * N=9294 individual scans.   * N=2128 cycles from 1731 patients were complete and suitable for analysis.  * **Previous Use**:   * Not enough information is available."
Data,provenance,Data/provenance,PMC11806858,Partial,"* **Data Source Name**:   * Kailuan General Hospital   * Source: Main text  * **Total Data Points**:   * N=16,378   * Source: Main text  * **Previous Use**:   * Not enough information is available"
Data,provenance,Data/provenance,PMC11874791,Partial,* **Data Source Name**:   * Weiner et al. (2023) study on prognostic CSF biomarkers for predicting shunt responsiveness in iNPH patients.  * **Total Data Points**:   * N=186 samples collected from 106 iNPH patients.     * N=85 samples from lumbar CSF fluid.     * N=101 samples from ventricular CSF fluid.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC10948976,Partial,* **Data Source Name**:   * Primary Dataset: Author-generated data from a single institution.   * Secondary Dataset: Not enough information is available.  * **Total Data Points**:   * Primary Dataset: N=832.  * **Previous Use**:   * Primary Dataset: No. This dataset is not referenced as having been used in previous publications or benchmarks.
Data,provenance,Data/provenance,PMC10583101,Partial,* **Data Source Name**:   * India 2020: Demographic and Health Surveys (DHS)   * India 2015: Demographic and Health Surveys (DHS)   * India 2006: Demographic and Health Surveys (DHS)   * Mali 2018: Demographic and Health Surveys (DHS)   * Mali 2006: Demographic and Health Surveys (DHS)   * Nigeria 2018: Demographic and Health Surveys (DHS)   * Nigeria 2008: Demographic and Health Surveys (DHS)  *
Data,provenance,Data/provenance,PMC8374469,Missing,* **Data Source Name**:   - Not enough information is available.  * **Total Data Points**:   - Not enough information is available.  * **Previous Use**:   - Not enough information is available.
Data,provenance,Data/provenance,PMC10438915,Missing,* **Data Source Name**:   * MBS Training Data: Not enough information is available.   * MagnetoSuture™: Not enough information is available.  * **Total Data Points**:   * MBS Training Data: Not enough information is available.   * MagnetoSuture™: Not enough information is available.  * **Previous Use**:   * MBS Training Data: Not enough information is available.   * MagnetoSuture™: Not enough info
Data,provenance,Data/provenance,PMC11544410,Missing,* **Data Source Name**:   * Echocardiographic images: Not enough information is available.   * Cardiac Magnetic Resonance (CMR) data: Not enough information is available.  * **Total Data Points**:   * Echocardiographic images: Not enough information is available.   * Cardiac Magnetic Resonance (CMR) data: Not enough information is available.  * **Previous Use**:   * Echocardiographic images: Not e
Data,redundancy,Data/redundancy,PMC11865635,Full,"* **Redundancy Methodology**: The study involved patients who presented to the ER and underwent abdominal CT scans due to a diagnosis of acute cholecystitis (AC), followed by laparoscopic cholecystectomy within 24 hours, with pathology confirming the diagnosis. From January 2015 to January 2020, a total of 250 patients were collected as the AC group. Additionally, 250 patients with acute appendici"
Data,redundancy,Data/redundancy,PMC11625410,Full,"* **Redundancy Methodology**: The authors ensured non-redundancy by removing sequences present in both the positive and negative datasets. Additionally, redundant sequences, sites containing non-canonical amino acids, and sites of length shorter than 8 residues were removed from the positive dataset.  * **Independent Sets**: Yes. The authors explicitly state that no sequences were present in both"
Data,redundancy,Data/redundancy,PMC7665450,Full,"* **Redundancy Methodology**: The study used 5-fold cross-validation at the treatment cycle level. The data were randomly portioned into five equal-size subsets, with the model trained on four of the subsets and evaluated on the fifth (out-of-fold) subset. This process was repeated over the five possible permutations of the subsets.  * **Independent Sets**: Yes. The study mentions that the data we"
Data,redundancy,Data/redundancy,PMC11874791,Full,"* **Redundancy Methodology**: The authors used k-fold cross-validation (k=5) to partition the dataset into training and validation sets. This approach involves splitting the dataset into k equal-sized folds, each serving as a distinct validation set while the model is trained on the remaining data. This method is designed to reduce overfitting and ensure that each data point is used for both train"
Data,redundancy,Data/redundancy,PMC10948976,Full,* **Redundancy Methodology**: Repeated nested cross-validation was used to improve the robustness and obtain an unbiased estimate of the generalization performance of these machine-learning models. This method consisted of 2 cross-validation cycles: outer loop and inner loop. The outer loop stratified 10-fold cross-validation where the dataset was to estimate the average performance of the machine
